forecastTimeLocal,forecastTimeUtc,temperatura,feelsLikeTemperature,vejo_greitis,windGust,windDirection,cloudCover,slegimasJuros,dregme,krituliai,conditionCode
2025-08-08 01:00:00+03:00,2025-08-07 22:00:00+00:00,14.1,14.1,2,3,203,94,1022,82,0.0,cloudy
2025-08-08 02:00:00+03:00,2025-08-07 23:00:00+00:00,13.6,13.6,2,3,197,96,1022,84,0.0,cloudy
2025-08-08 03:00:00+03:00,2025-08-08 00:00:00+00:00,13.2,13.2,2,4,185,71,1022,85,0.0,cloudy-with-sunny-intervals
2025-08-08 04:00:00+03:00,2025-08-08 01:00:00+00:00,12.8,12.8,2,4,175,91,1022,86,0.0,cloudy
2025-08-08 05:00:00+03:00,2025-08-08 02:00:00+00:00,13.3,13.3,3,5,172,100,1022,84,0.0,cloudy
2025-08-08 06:00:00+03:00,2025-08-08 03:00:00+00:00,13.7,13.7,3,5,172,100,1021,82,0.0,cloudy
2025-08-08 07:00:00+03:00,2025-08-08 04:00:00+00:00,14.2,14.2,3,5,175,100,1021,80,0.0,cloudy
2025-08-08 08:00:00+03:00,2025-08-08 05:00:00+00:00,15.4,15.4,3,5,176,95,1020,77,0.0,cloudy
2025-08-08 09:00:00+03:00,2025-08-08 06:00:00+00:00,16.3,16.3,3,6,181,100,1021,73,0.0,cloudy
2025-08-08 10:00:00+03:00,2025-08-08 07:00:00+00:00,17.7,17.7,3,5,187,100,1020,67,0.0,cloudy
2025-08-08 11:00:00+03:00,2025-08-08 08:00:00+00:00,18.9,18.9,3,6,185,100,1020,63,0.0,cloudy
2025-08-08 12:00:00+03:00,2025-08-08 09:00:00+00:00,20.0,20.0,3,7,190,100,1020,60,0.0,cloudy
2025-08-08 13:00:00+03:00,2025-08-08 10:00:00+00:00,20.3,20.3,3,7,205,100,1019,53,0.0,cloudy
2025-08-08 14:00:00+03:00,2025-08-08 11:00:00+00:00,19.4,19.4,3,7,213,100,1019,61,0.0,cloudy
2025-08-08 15:00:00+03:00,2025-08-08 12:00:00+00:00,20.0,20.0,2,6,186,100,1019,59,0.0,cloudy
2025-08-08 16:00:00+03:00,2025-08-08 13:00:00+00:00,20.3,20.3,2,4,167,100,1019,59,0.0,cloudy
2025-08-08 17:00:00+03:00,2025-08-08 14:00:00+00:00,19.7,19.7,2,4,140,100,1018,69,0.0,cloudy
2025-08-08 18:00:00+03:00,2025-08-08 15:00:00+00:00,20.4,20.4,2,5,164,100,1018,60,0.0,cloudy
2025-08-08 19:00:00+03:00,2025-08-08 16:00:00+00:00,19.3,19.3,2,5,181,100,1017,69,0.0,cloudy
2025-08-08 20:00:00+03:00,2025-08-08 17:00:00+00:00,18.7,18.7,2,5,194,100,1017,72,0.0,cloudy
2025-08-08 21:00:00+03:00,2025-08-08 18:00:00+00:00,17.5,17.5,3,5,215,2,1018,71,0.0,clear
2025-08-08 22:00:00+03:00,2025-08-08 19:00:00+00:00,16.3,16.3,2,4,195,87,1018,68,0.0,cloudy
2025-08-08 23:00:00+03:00,2025-08-08 20:00:00+00:00,15.6,15.6,1,3,205,15,1018,68,0.0,clear
2025-08-09 00:00:00+03:00,2025-08-08 21:00:00+00:00,14.8,14.8,1,2,234,0,1018,71,0.0,clear
2025-08-09 01:00:00+03:00,2025-08-08 22:00:00+00:00,14.0,14.0,1,2,222,0,1018,75,0.0,clear
2025-08-09 02:00:00+03:00,2025-08-08 23:00:00+00:00,13.4,13.4,1,2,238,0,1019,79,0.0,clear
2025-08-09 03:00:00+03:00,2025-08-09 00:00:00+00:00,12.8,12.8,1,2,232,0,1019,81,0.0,clear
2025-08-09 04:00:00+03:00,2025-08-09 01:00:00+00:00,12.5,12.5,1,2,227,0,1019,83,0.0,clear
2025-08-09 05:00:00+03:00,2025-08-09 02:00:00+00:00,11.9,11.9,1,2,229,0,1019,85,0.0,clear
2025-08-09 06:00:00+03:00,2025-08-09 03:00:00+00:00,11.5,11.5,1,2,216,0,1020,87,0.0,clear
2025-08-09 07:00:00+03:00,2025-08-09 04:00:00+00:00,12.2,12.2,1,2,200,0,1020,87,0.0,clear
2025-08-09 08:00:00+03:00,2025-08-09 05:00:00+00:00,14.7,14.7,1,2,191,0,1020,79,0.0,clear
2025-08-09 09:00:00+03:00,2025-08-09 06:00:00+00:00,17.0,17.0,1,2,210,0,1020,72,0.0,clear
2025-08-09 10:00:00+03:00,2025-08-09 07:00:00+00:00,19.2,19.2,1,4,230,0,1021,64,0.0,clear
2025-08-09 11:00:00+03:00,2025-08-09 08:00:00+00:00,21.0,21.0,2,5,239,0,1021,58,0.0,clear
2025-08-09 12:00:00+03:00,2025-08-09 09:00:00+00:00,22.4,22.4,2,6,242,0,1021,53,0.0,clear
2025-08-09 13:00:00+03:00,2025-08-09 10:00:00+00:00,23.4,23.1,3,7,256,0,1021,49,0.0,clear
2025-08-09 14:00:00+03:00,2025-08-09 11:00:00+00:00,24.1,23.7,3,7,263,2,1021,45,0.0,clear
2025-08-09 15:00:00+03:00,2025-08-09 12:00:00+00:00,24.5,24.1,3,7,280,1,1021,41,0.0,clear
2025-08-09 16:00:00+03:00,2025-08-09 13:00:00+00:00,24.6,24.1,2,7,282,1,1021,39,0.0,clear
2025-08-09 17:00:00+03:00,2025-08-09 14:00:00+00:00,24.7,24.2,2,6,266,0,1021,36,0.0,clear
2025-08-09 18:00:00+03:00,2025-08-09 15:00:00+00:00,24.7,24.2,2,6,266,2,1021,36,0.0,clear
2025-08-09 19:00:00+03:00,2025-08-09 16:00:00+00:00,24.1,23.8,3,6,254,19,1021,47,0.0,clear
2025-08-09 20:00:00+03:00,2025-08-09 17:00:00+00:00,23.0,22.8,2,6,236,0,1021,56,0.0,clear
2025-08-09 21:00:00+03:00,2025-08-09 18:00:00+00:00,21.2,21.2,2,4,196,0,1021,56,0.0,clear
2025-08-09 22:00:00+03:00,2025-08-09 19:00:00+00:00,19.6,19.6,2,4,176,8,1021,63,0.0,clear
2025-08-09 23:00:00+03:00,2025-08-09 20:00:00+00:00,19.0,19.0,2,4,190,87,1021,66,0.0,cloudy
2025-08-10 00:00:00+03:00,2025-08-09 21:00:00+00:00,18.3,18.3,2,4,244,0,1021,70,0.0,clear
2025-08-10 01:00:00+03:00,2025-08-09 22:00:00+00:00,17.3,17.3,1,4,252,4,1021,79,0.0,clear
2025-08-10 02:00:00+03:00,2025-08-09 23:00:00+00:00,16.5,16.5,1,2,209,2,1021,81,0.0,clear
2025-08-10 03:00:00+03:00,2025-08-10 00:00:00+00:00,15.4,15.4,2,3,186,12,1021,84,0.0,clear
2025-08-10 06:00:00+03:00,2025-08-10 03:00:00+00:00,14.8,14.8,2,4,188,100,1020,89,0.0,cloudy
2025-08-10 09:00:00+03:00,2025-08-10 06:00:00+00:00,19.0,19.0,2,5,165,96,1018,79,0.0,cloudy
2025-08-10 12:00:00+03:00,2025-08-10 09:00:00+00:00,21.3,21.3,1,7,178,100,1017,72,1.4,rain
2025-08-10 15:00:00+03:00,2025-08-10 12:00:00+00:00,20.8,20.8,3,9,226,52,1016,75,3.7,rain
